COUNTRY,PREINDEP_NAME,DAY,MONTH,YEAR
Afghanistan,,19,8,1919
Antigua and Barbuda,"Antigua, Leeward Islands",1,11,1981
Australia,,1,1,1901
The Bahamas,,10,7,1973
Bahrain,,15,8,1971
Barbados,,30,11,1966
Belize,British Honduras,21,9,1981
Botswana,Bechuanaland,30,9,1966
Brunei,,1,1,1984
Cameroon,took in Southern Cameroons,1,10,1961
Canada,,1,7,1867
Cyprus,,16,8,1960
Dominica,"Dominica, Windward Islands",3,11,1978
Egypt,,28,2,1922
Eswatini,Swaziland,6,9,1968
Fiji,,10,10,1970
The Gambia,Gambia,18,2,1965
Ghana,"Gold Coast, Togoland",6,3,1957
Grenada,"Grenada, Windward Islands",7,2,1974
Guyana,British Guiana,26,5,1966
India,British Raj,15,8,1947
Iraq,,3,10,1932
Israel,Mandatory Palestine,14,5,1948
Jamaica,,6,8,1962
Jordan,Transjordan,25,5,1946
Kenya,,12,12,1963
Kiribati,Gilbert and Ellice Islands,12,7,1979
Kuwait,,19,6,1961
Lesotho,Basutoland,4,10,1966
Libya,,24,12,1951
Malawi,Nyasaland,6,7,1964
Malaysia,"Four parts: Malaya, North Borneo, Singapore and Sarawak",31,8,1957
Maldives,,26,7,1965
Malta,,21,9,1964
Mauritius,,12,3,1968
Myanmar,,4,1,1948
Nauru,,31,1,1968
New Zealand,,11,12,1931
Nigeria,,1,10,1960
Oman,,20,12,1951
Pakistan,,14,8,1947
Palestine,Mandate Palestine,29,11,1947
Qatar,British Qatari Protectorate,3,9,1971
Saint Lucia,"St Lucia, Windward Islands",22,2,1979
Saint Kitts and Nevis,"St Kitts–Nevis and Anguilla, Leeward Islands",19,9,1983
Saint Vincent and the Grenadines,"St Vincent, Windward Islands",27,10,1979
Seychelles,,29,6,1976
Sierra Leone,,27,4,1961
Singapore,,3,6,1959
Solomon Islands,British Solomon Islands,7,7,1978
South Africa,,31,5,1961
Somaliland,British Somaliland Protectorate,26,6,1960
Sri Lanka,Ceylon,4,2,1948
Sudan,,1,1,1956
Tanzania,took in Tanganyika,9,12,1961
Tonga,,4,6,1970
Trinidad and Tobago,,31,8,1962
Tuvalu,Gilbert and Ellice Islands,1,10,1978
Uganda,,6,10,1962
United Arab Emirates,Trucial States,2,12,1971
United States,Thirteen American Colonies,4,7,1776
Vanuatu,New Hebrides,30,7,1980
Yemen,Aden Colony and Protectorate,30,11,1967
Zambia,Northern Rhodesia,24,10,1964
Zimbabwe,Southern Rhodesia,18,4,1980
